Date,Open,High,Low,Close,Volume
06-11-2017,1310,1335.900024,1305.880005,1332.780029,1377000
07-11-2017,1335,1384,1333.030029,1355.030029,2696892
08-11-2017,1361.5,1379.5,1359.119995,1367.5,1402252
09-11-2017,1375,1375,1359.650024,1368.199951,1152432
10-11-2017,1361.099976,1363,1346.680054,1354.380005,1356566
13-11-2017,1351.030029,1388.699951,1351.030029,1379.469971,1496996
14-11-2017,1378.280029,1378.280029,1353.75,1357.300049,1657252
15-11-2017,1353,1377.5,1350.680054,1352.650024,6670834
16-11-2017,1355,1381.5,1343.469971,1373.319946,1653482
17-11-2017,1374.050049,1374.050049,1351.800049,1353.650024,1325464
20-11-2017,1357.5,1363.449951,1347.650024,1351.719971,1014498
21-11-2017,1350.5,1350.5,1333,1336.469971,1527740
22-11-2017,1336.5,1354.849976,1336.199951,1340.319946,1822624
23-11-2017,1340.5,1346.5,1334.5,1340.619995,793470
24-11-2017,1341,1351.449951,1336.550049,1344.030029,2287512
27-11-2017,1344,1347.949951,1331.099976,1342.930054,1856786
28-11-2017,1343,1351.199951,1335,1342.650024,911716
29-11-2017,1338.75,1346.5,1325,1329.069946,1447532
30-11-2017,1326.819946,1333.469971,1311.5,1318.5,4299962
01-12-2017,1317.5,1334,1310.75,1314.969971,1031144
04-12-2017,1311,1329.25,1301.469971,1316.180054,1259104
05-12-2017,1315.5,1325.849976,1314.069946,1317.780029,1167914
06-12-2017,1318,1322.5,1306.430054,1316.650024,1407518
07-12-2017,1316.150024,1322.969971,1307.5,1308.619995,1326300
08-12-2017,1309,1322.5,1298.5,1300.75,1385548
11-12-2017,1304.180054,1336.319946,1304.180054,1330.550049,1008002
12-12-2017,1330.5,1331,1303.699951,1306.069946,1882246
13-12-2017,1305.699951,1325.719971,1300.5,1314.199951,2961458
14-12-2017,1316,1316,1265.550049,1278.900024,5504150
15-12-2017,1281.880005,1292.219971,1268.430054,1272.800049,2718138
18-12-2017,1268.5,1294.469971,1247.180054,1290.25,2180664
19-12-2017,1288,1298.900024,1282.349976,1287.650024,1801952
20-12-2017,1291,1296.380005,1275.319946,1294.469971,1577570
21-12-2017,1293.5,1304,1290.030029,1297.849976,1293648
